title,author,runtime
79. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
80. Cassandra in Reverse,By: Holly Smale,Length: 13 hrs and 15 mins
81. He Who Fights with Monsters: A LitRPG Adventure,"By: Shirtaloon, Travis Deverell",Length: 28 hrs and 56 mins
82. Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
83. Shattersoul,By: Kyle Kirrin,Length: 20 hrs and 15 mins
84. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
85. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
86. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
87. Dawnshard,By: Brandon Sanderson,Length: 7 hrs and 5 mins
88. The 7 Habits of Highly Effective People,By: Stephen R. Covey,Length: 13 hrs and 4 mins
89. Where the Crawdads Sing,By: Delia Owens,Length: 12 hrs and 12 mins
90. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
91. Disruptive Thinking,By: T. D. Jakes,Length: 8 hrs and 42 mins
92. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 51 mins
93. The Anti-Communist Manifesto,By: Jesse Kelly,Length: 7 hrs and 52 mins
94. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
95. Finding Me,By: Viola Davis,Length: 9 hrs and 15 mins
96. The Daddy Diaries,By: Andy Cohen,Length: 10 hrs and 32 mins
97. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
98. Things We Never Got Over,By: Lucy Score,Length: 16 hrs and 1 min
99. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
100. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
